"Player","Season","Team","GP","TOI","SA","GA","Sv%","xSv%","dSv%","LDSv%","MDSv%","HDSv%","GSAA"
"AARON.DELL","2016-2017","S.J",20,951.31,449,23,94.88,92.44,2.43,98.64,96.03,82.05,10.93
"AARON.DELL","2017-2018","S.J",29,1235.49,606,49,91.91,91.74,0.17,97.6,92.97,77.52,1.05
"AARON.DELL","2018-2019","S.J",25,1057.78,473,45,90.49,91.24,-0.75,98.03,89.02,78.3,-3.57
"ADIN.HILL","2017-2018","ARI",4,205.05,113,12,89.38,90.27,-0.88,91.67,93.75,81.82,-1
"ADIN.HILL","2018-2019","ARI",13,545.18,255,25,90.2,91.73,-1.54,95.76,94.94,72.41,-3.92
"ALEXANDAR.GEORGIEV","2017-2018","NYR",10,430.98,274,19,93.07,91.86,1.21,99.24,89.77,83.64,3.31
"ALEXANDAR.GEORGIEV","2018-2019","NYR",33,1486.2,822,69,91.61,91.76,-0.15,98.06,91.17,79.33,-1.23
"ALEX.AULD","2007-2008","ARI/BOS",32,1208.93,534,41,92.32,92.3,0.02,97.22,92.24,80.23,0.12
"ALEX.AULD","2008-2009","OTT",43,1808.57,823,64,92.22,92.14,0.08,98.67,90.23,83.06,0.65
"ALEX.AULD","2009-2010","DAL/NYR",24,1024,472,46,90.25,92.69,-2.43,99.09,86.08,71.19,-11.49
"ALEX.AULD","2010-2011","MTL",16,561.85,278,24,91.37,92.1,-0.73,96.67,94.34,73.08,-2.03
"ALEX.AULD","2011-2012","OTT",14,481.05,215,20,90.7,91.96,-1.26,96.91,93.83,67.57,-2.71
"ALEX.LYON","2017-2018","PHI",11,402.16,198,18,90.91,91.8,-0.89,98.77,88.75,78.38,-1.77
"ALEX.STALOCK","2013-2014","S.J",24,1007.39,465,31,93.33,92.74,0.59,98.31,90.67,83.54,2.75
"ALEX.STALOCK","2014-2015","S.J",22,993.17,452,41,90.93,91.27,-0.35,99.46,91.46,74.51,-1.56
"ALEX.STALOCK","2015-2016","S.J",13,521.6,216,24,88.89,92.2,-3.31,94.9,90.41,73.33,-7.16
"ALEX.STALOCK","2017-2018","MIN",28,1143.78,571,46,91.94,93.1,-1.15,96.63,91.1,77.11,-6.58
"ALEX.STALOCK","2018-2019","MIN",21,821.98,386,34,91.19,92.32,-1.12,97.96,90.68,73.61,-4.34
"ALLEN.YORK","2011-2012","CBJ",11,305.19,151,11,92.72,93.01,-0.3,98.53,95.08,68.18,-0.45
"AL.MONTOYA","2010-2011","NYI",20,884.64,450,30,93.33,91.1,2.24,98.75,95.41,79.79,10.07
"AL.MONTOYA","2011-2012","NYI",31,1366.15,651,65,90.02,91.66,-1.65,97.8,88.44,78.43,-10.72
"AL.MONTOYA","2012-2013","WPG",7,287.98,139,13,90.65,92.3,-1.65,96.97,91.89,77.78,-2.3
"AL.MONTOYA","2013-2014","WPG",28,1228.48,583,44,92.45,92.27,0.19,96.75,92.51,82.35,1.09
"AL.MONTOYA","2014-2015","FLA",20,765.2,357,37,89.64,92.08,-2.44,95.81,89.08,76.06,-8.71
"AL.MONTOYA","2015-2016","FLA",25,1053.79,468,34,92.74,92.24,0.5,99.55,90.32,79.78,2.32
"AL.MONTOYA","2016-2017","MTL",19,921.48,453,36,92.05,92.18,-0.13,97.21,91.22,81.11,-0.58
"AL.MONTOYA","2017-2018","MTL/EDM",13,553.15,273,20,92.67,91.84,0.84,98.35,92.86,79.63,2.28
"ANDERS.LINDBACK","2010-2011","NSH",22,907.99,471,32,93.21,92.83,0.38,98.42,92.09,81.82,1.78
"ANDERS.LINDBACK","2011-2012","NSH",16,615.76,272,23,91.54,91.89,-0.35,96.67,88.04,86.67,-0.94
"ANDERS.LINDBACK","2012-2013","T.B",24,1022.05,492,46,90.65,92.84,-2.19,97.93,89.02,71.79,-10.78
"ANDERS.LINDBACK","2013-2014","T.B",23,1057.42,443,37,91.65,92.61,-0.97,98,94.01,69.74,-4.28
"ANDERS.LINDBACK","2014-2015","DAL/BUF",26,1137.15,627,54,91.39,92.97,-1.59,97.4,92.66,70.3,-9.94
"ANDERS.LINDBACK","2015-2016","ARI",19,676.8,328,30,90.85,92.59,-1.74,96.43,92.13,76.06,-5.71
"ANDERS.NILSSON","2013-2014","NYI",19,847.2,400,33,91.75,91.39,0.36,99.34,94.51,72.94,1.44
"ANDERS.NILSSON","2015-2016","EDM/STL",29,1208.52,624,54,91.35,92.22,-0.87,96.19,90,82.4,-5.43
"ANDERS.NILSSON","2016-2017","BUF",26,1214.92,656,44,93.29,92.02,1.27,98.08,92.2,84.17,8.33
"ANDERS.NILSSON","2017-2018","VAN",27,1175.55,670,57,91.49,91.65,-0.16,95.61,92.83,80.29,-1.07
"ANDERS.NILSSON","2018-2019","VAN/OTT",35,1613.52,866,73,91.57,92.39,-0.82,97.41,88.97,80.13,-7.13
"ANDREI.VASILEVSKIY","2014-2015","T.B",16,705.29,331,24,92.75,92.52,0.23,95,91.43,90.2,0.75
"ANDREI.VASILEVSKIY","2015-2016","T.B",24,963.75,469,35,92.54,93.21,-0.67,94.87,92.64,84.72,-3.14
"ANDREI.VASILEVSKIY","2016-2017","T.B",50,2250.28,1129,87,92.29,92.89,-0.59,96.51,92.88,79.06,-6.69
"ANDREI.VASILEVSKIY","2017-2018","T.B",65,3017.18,1615,111,93.13,92.91,0.22,97.91,91.55,81,3.51
"ANDREI.VASILEVSKIY","2018-2019","T.B",53,2520.92,1315,93,92.93,92.85,0.07,98.23,92.96,77.03,0.98
"ANDREW.HAMMOND","2014-2015","OTT",24,1107.55,556,33,94.06,92.9,1.17,98.13,93.65,84,6.49
"ANDREW.HAMMOND","2015-2016","OTT",24,1104.32,556,33,94.06,92.42,1.64,98,94.81,81.91,9.14
"ANDREW.RAYCROFT","2007-2008","TOR",18,646.77,316,34,89.24,91.47,-2.22,97.35,91.08,63.04,-7.03
"ANDREW.RAYCROFT","2008-2009","COL",31,1323.58,644,60,90.68,92.45,-1.77,97.31,89.23,75.86,-11.37
"ANDREW.RAYCROFT","2009-2010","VAN",21,727.65,326,30,90.8,92.06,-1.26,96.04,94.22,69.23,-4.1
"ANDREW.RAYCROFT","2010-2011","DAL",18,653.24,355,33,90.7,92.68,-1.98,97.55,90.07,70.59,-7.02
"ANDREW.RAYCROFT","2011-2012","DAL",10,430.57,243,27,88.89,92.58,-3.69,94.66,94.12,63.64,-8.97
"ANTERO.NIITTYMAKI","2007-2008","PHI",28,961.86,503,42,91.65,91.5,0.15,98.86,89.68,81.33,0.76
"ANTERO.NIITTYMAKI","2008-2009","PHI",32,1259.25,604,45,92.55,92.37,0.18,98.82,91.41,78.49,1.09
"ANTERO.NIITTYMAKI","2009-2010","T.B",49,1910.95,960,78,91.88,92.31,-0.43,98.12,94.37,67.83,-4.16
"ANTERO.NIITTYMAKI","2010-2011","S.J",24,1074.13,472,38,91.95,91.8,0.15,98.34,90.38,81.93,0.72
"ANTHONY.STOLARZ","2016-2017","PHI",7,290.92,141,7,95.04,92.05,2.99,100,97.56,80,4.21
"ANTHONY.STOLARZ","2018-2019","PHI/EDM",18,697.95,408,33,91.91,91.55,0.36,98.24,88.31,85.71,1.48
"ANTON.FORSBERG","2017-2018","CHI",35,1379.77,734,68,90.74,91.8,-1.06,97.01,90.3,78.4,-7.78
"ANTON.KHUDOBIN","2012-2013","BOS",14,628.73,297,24,91.92,93,-1.08,98.66,91.49,74.07,-3.22
"ANTON.KHUDOBIN","2013-2014","CAR",36,1684.86,887,57,93.57,92.28,1.3,98.48,95.94,77.78,11.49
"ANTON.KHUDOBIN","2014-2015","CAR",34,1563.15,702,68,90.31,91.47,-1.15,98.57,91.5,75.43,-8.1
"ANTON.KHUDOBIN","2015-2016","ANA",9,287.97,133,13,90.23,91.87,-1.65,96.3,87.23,84.38,-2.19
"ANTON.KHUDOBIN","2016-2017","BOS",16,684.03,308,29,90.58,91.88,-1.29,98.4,89.92,76.56,-3.98
"ANTON.KHUDOBIN","2017-2018","BOS",31,1398.72,647,49,92.43,91.83,0.6,98.31,91.82,80.15,3.89
"ANTON.KHUDOBIN","2018-2019","DAL",41,1816.65,960,65,93.23,92.59,0.64,98.17,92.67,79.76,6.12
"ANTTI.NIEMI","2009-2010","CHI",39,1710.78,693,57,91.77,91.82,-0.05,96.48,93.35,77.69,-0.34
"ANTTI.NIEMI","2010-2011","S.J",60,2812.2,1337,92,93.12,92.63,0.49,97.67,93.1,79.6,6.52
"ANTTI.NIEMI","2011-2012","S.J",68,3148.85,1485,106,92.86,92.56,0.3,98.08,92.12,79.54,4.48
"ANTTI.NIEMI","2012-2013","S.J",43,2034.67,941,65,93.09,92.94,0.16,98.57,92.18,77.71,1.46
"ANTTI.NIEMI","2013-2014","S.J",64,2931.93,1319,108,91.81,92.79,-0.98,97.88,91.59,74.78,-12.91
"ANTTI.NIEMI","2014-2015","S.J",61,2876.97,1402,111,92.08,92.35,-0.27,97.83,91.59,77.02,-3.73
"ANTTI.NIEMI","2015-2016","DAL",48,2094.01,961,74,92.3,92,0.3,97.82,92.73,79.81,2.84
"ANTTI.NIEMI","2016-2017","DAL",37,1376.7,668,61,90.87,92.15,-1.28,98.14,88.84,76.34,-8.53
"ANTTI.NIEMI","2017-2018","PIT/MTL/FLA",24,953.22,531,38,92.84,91.68,1.17,99.15,91.53,81.31,6.2
"ANTTI.NIEMI","2018-2019","MTL",17,800.32,422,42,90.05,92.68,-2.64,96.8,86.82,75.68,-11.13
"ANTTI.RAANTA","2013-2014","CHI",25,1093.58,452,48,89.38,92.1,-2.72,97.31,90.06,72.63,-12.31
"ANTTI.RAANTA","2014-2015","CHI",14,656,311,19,93.89,92.38,1.51,98.63,91.75,86.76,4.69
"ANTTI.RAANTA","2015-2016","NYR",25,961.02,429,31,92.77,91.47,1.31,98.93,94.7,80,5.6
"ANTTI.RAANTA","2016-2017","NYR",30,1289.15,627,41,93.46,92.19,1.27,98.25,94.39,81.25,7.94
"ANTTI.RAANTA","2017-2018","ARI",47,2081.48,1076,68,93.68,93.02,0.66,97.56,92.86,82.87,7.06
"ANTTI.RAANTA","2018-2019","ARI",12,538.63,274,19,93.07,91.36,1.7,98.26,92.55,84.62,4.66
"BEN.BISHOP","2010-2011","STL",7,301.67,134,14,89.55,92.69,-3.14,96.36,83.61,88.89,-4.21
"BEN.BISHOP","2011-2012","OTT",10,411.19,180,16,91.11,92.71,-1.59,97.85,87.04,78.79,-2.87
"BEN.BISHOP","2012-2013","OTT/T.B",22,1005,543,39,92.82,92.82,-0.01,97.37,91.71,82.29,-0.03
"BEN.BISHOP","2013-2014","T.B",63,2759.41,1314,88,93.3,92.76,0.54,97.72,91.61,84.75,7.09
"BEN.BISHOP","2014-2015","T.B",62,2686.51,1158,92,92.06,92.8,-0.75,98.36,92.49,73.33,-8.64
"BEN.BISHOP","2015-2016","T.B",61,2815.22,1284,91,92.91,93.06,-0.14,98.12,91.84,78.92,-1.84
"BEN.BISHOP","2016-2017","T.B/L.A",39,1738.82,809,61,92.46,92.24,0.22,98.1,90.97,81.58,1.75
"BEN.BISHOP","2017-2018","DAL",53,2268.38,1087,83,92.36,92.54,-0.18,97,89.04,85.64,-1.94
"BEN.BISHOP","2018-2019","DAL",46,2142.05,1076,67,93.77,92.08,1.69,97.6,92.83,85.45,18.21
"BEN.SCRIVENS","2011-2012","TOR",12,543.6,283,26,90.81,91.73,-0.92,97.54,88.46,80.7,-2.61
"BEN.SCRIVENS","2012-2013","TOR",20,807,440,35,92.05,93.08,-1.04,96.9,92.59,77.22,-4.57
"BEN.SCRIVENS","2013-2014","L.A/EDM",39,1726.66,923,63,93.17,92.37,0.8,98.13,94.01,79.78,7.42
"BEN.SCRIVENS","2014-2015","EDM",57,2641.85,1259,127,89.91,92.13,-2.21,96.1,90.87,73.25,-27.88
"BEN.SCRIVENS","2015-2016","MTL",15,637.3,345,25,92.75,92.38,0.38,99.42,94,75.68,1.3
"BRADEN.HOLTBY","2010-2011","WSH",14,565.82,249,18,92.77,92.78,0,97.27,93.07,78.95,-0.01
