"Team","Season","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","Sh%","Sv%","PDO"
"ANA","2007-2008",81,3396.38,2596,2523,73,50.71,45.86,44.57,107,95,12,52.97,1.89,1.68,108.93,114.61,-5.68,48.73,1.92,2.02,406,372,-34,7.3,93.62,100.93
"ANA","2008-2009",82,3645.19,3060,2945,115,50.96,50.37,48.47,145,130,15,52.73,2.39,2.14,134.91,129.11,5.8,51.1,2.22,2.13,407,337,-70,8.4,92.42,100.82
"ANA","2009-2010",82,3746.91,3141,3493,-352,47.35,50.3,55.93,146,144,2,50.34,2.34,2.31,132.19,156.27,-24.08,45.83,2.12,2.5,378,351,-27,8.23,92.75,100.98
"ANA","2010-2011",82,3852.9,3024,3794,-770,44.35,47.09,59.08,134,154,-20,46.53,2.09,2.4,123.01,156.05,-33.04,44.08,1.92,2.43,336,309,-27,7.87,92.31,100.18
"ANA","2011-2012",82,3890.68,3326,3526,-200,48.54,51.29,54.38,138,154,-16,47.26,2.13,2.37,133.14,149.34,-16.2,47.13,2.05,2.3,274,260,-14,7.99,91.66,99.65
"ANA","2012-2013",48,2319.8,1970,2140,-170,47.93,50.95,55.35,89,72,17,55.28,2.3,1.86,81.87,81.65,0.22,50.07,2.12,2.11,162,137,-25,8.59,93.01,101.6
"ANA","2013-2014",82,3822.9,3500,3528,-28,49.8,54.93,55.37,187,133,54,58.44,2.93,2.09,153.17,144.53,8.64,51.45,2.4,2.27,292,293,1,9.83,92.62,102.45
"ANA","2014-2015",82,3902.03,3610,3474,136,50.96,55.51,53.42,158,149,9,51.47,2.43,2.29,149.09,136.88,12.21,52.13,2.29,2.1,263,251,-12,8.48,91.82,100.3
"ANA","2015-2016",82,3882.25,3646,3310,336,52.42,56.35,51.16,128,131,-3,49.42,1.98,2.02,146.06,129.48,16.58,53.01,2.26,2,329,272,-57,6.69,92.39,99.08
"ANA","2016-2017",82,3869.85,3495,3542,-47,49.67,54.19,54.92,145,128,17,53.11,2.25,1.98,152.87,140.98,11.89,52.02,2.37,2.19,304,275,-29,7.77,92.98,100.75
"ANA","2017-2018",82,3925.6,3653,3860,-207,48.62,55.83,59,158,135,23,53.92,2.41,2.06,153.84,163.93,-10.09,48.41,2.35,2.51,271,223,-48,8.16,93.35,101.51
"ANA","2018-2019",81,3921.45,3539,3903,-364,47.55,54.15,59.72,136,152,-16,47.22,2.08,2.33,141.67,171.86,-30.19,45.19,2.17,2.63,242,204,-38,7.46,92.55,100.01
"ARI","2007-2008",81,3641.48,3173,3304,-131,48.99,52.28,54.44,121,133,-12,47.64,1.99,2.19,124.72,135.63,-10.91,47.9,2.05,2.23,322,317,-5,6.62,92.79,99.41
"ARI","2008-2009",81,3733.4,3044,3639,-595,45.55,48.92,58.48,126,158,-32,44.37,2.02,2.54,116.34,136.9,-20.56,45.94,1.87,2.2,321,351,30,7.59,91.85,99.44
"ARI","2009-2010",82,3697.48,3421,3159,262,51.99,55.51,51.26,148,123,25,54.61,2.4,2,134.86,125.55,9.31,51.79,2.19,2.04,267,269,2,7.89,92.91,100.8
"ARI","2010-2011",82,3863.82,3646,3608,38,50.26,56.62,56.03,156,132,24,54.17,2.42,2.05,140.67,148.69,-8.02,48.61,2.18,2.31,277,272,-5,8.03,93.31,101.34
"ARI","2011-2012",82,3957.78,3681,3717,-36,49.76,55.8,56.35,158,141,17,52.84,2.4,2.14,149.41,153.88,-4.47,49.26,2.27,2.33,249,242,-7,8.07,93.07,101.15
"ARI","2012-2013",48,2265.41,2173,2117,56,50.65,57.55,56.07,86,81,5,51.5,2.28,2.15,84.2,87.15,-2.95,49.14,2.23,2.31,157,166,9,7.42,92.93,100.35
"ARI","2013-2014",82,3878.63,3584,3505,79,50.56,55.44,54.22,137,133,4,50.74,2.12,2.06,127.79,142.76,-14.97,47.23,1.98,2.21,265,266,1,7.26,93.01,100.27
